subjID,condition,trial,effort_level,rating,ratingRT,effort_time,steps_req,sex,age,frustration_raw,frustration_adjusted,raw_overall,adjusted_overall,effort_trials,rel_liking,rel_value,rel_wanting
5,Liking,6,Medium,3,4.91,53.574191899970174,100,NA,NA,10,0,275,61.666666666666664,99,More,More,More
5,Liking,7,High,2,2.734,154.12739249999868,270,NA,NA,10,0,275,61.666666666666664,269,More,More,More
5,Liking,8,Medium,4,1.247,55.25071619998198,100,NA,NA,10,0,275,61.666666666666664,100,More,More,More
5,Liking,9,Low,5,3.913,18.35396959999343,30,NA,NA,10,0,275,61.666666666666664,31,More,More,More
5,Liking,10,Medium,3,2.558,50.47434710001107,100,NA,NA,10,0,275,61.666666666666664,98,More,More,More
5,Liking,11,Low,5,1.704,13.55352519999724,30,NA,NA,10,0,275,61.666666666666664,30,More,More,More
5,Liking,12,High,1,1.289,137.56843200000003,270,NA,NA,10,0,275,61.666666666666664,275,More,More,More
5,Liking,13,Medium,3,3.686,47.26662149996264,100,NA,NA,10,0,275,61.666666666666664,99,More,More,More
5,Liking,14,High,2,2.1,125.40619140001944,270,NA,NA,10,0,275,61.666666666666664,270,More,More,More
5,Liking,15,Low,5,1.448,15.832055199949536,30,NA,NA,10,0,275,61.666666666666664,30,More,More,More
5,Liking,16,High,4,10.706,128.59999870002505,270,NA,NA,10,0,275,61.666666666666664,272,More,More,More
5,Liking,17,Low,3,5.043,20.32924190000631,30,NA,NA,10,0,275,61.666666666666664,31,More,More,More
5,Liking,18,Medium,4,3.554,55.28612790000625,100,NA,NA,10,0,275,61.666666666666664,100,More,More,More
6,Wanting,1,Low,1,3.649,28.599657000042495,30,Female,20,10,10,245,61,32,More,More,More
6,Wanting,2,Medium,2,2.009,64.37996520008892,100,Female,20,10,10,245,61,102,More,More,More
6,Wanting,3,High,5,3.646,155.802142700064,270,Female,20,10,10,245,61,274,More,More,More
6,Wanting,4,Low,2,2.88,24.366677300073206,30,Female,20,10,10,245,61,35,More,More,More
6,Wanting,5,High,1,2.153,152.95613700000104,270,Female,20,10,10,245,61,273,More,More,More
6,Wanting,6,Medium,2,2.957,60.00245819997508,100,Female,20,10,10,245,61,103,More,More,More
6,Wanting,7,High,2,2.865,162.99659560003784,270,Female,20,10,10,245,61,272,More,More,More
6,Wanting,8,Medium,4,2.345,69.7118873000145,100,Female,20,10,10,245,61,104,More,More,More
6,Wanting,9,Low,4,1.942,24.655428900034167,30,Female,20,10,10,245,61,32,More,More,More
6,Wanting,10,Medium,3,1.969,64.04871959995944,100,Female,20,10,10,245,61,103,More,More,More
6,Wanting,11,Low,2,1.797,21.88367720006499,30,Female,20,10,10,245,61,34,More,More,More
6,Wanting,12,High,4,5.098,154.18112660001498,270,Female,20,10,10,245,61,293,More,More,More
6,Wanting,13,Medium,1,3.856,54.87168420001399,100,Female,20,10,10,245,61,103,More,More,More
6,Wanting,14,High,1,3.23,150.13185899995733,270,Female,20,10,10,245,61,273,More,More,More
6,Wanting,15,Low,3,2.541,24.376424200017937,30,Female,20,10,10,245,61,32,More,More,More
6,Wanting,16,High,4,2.431,157.58320630004164,270,Female,20,10,10,245,61,274,More,More,More
6,Wanting,17,Low,1,2.38,23.433276999974623,30,Female,20,10,10,245,61,32,More,More,More
6,Wanting,18,Medium,3,2.539,57.75371650001034,100,Female,20,10,10,245,61,104,More,More,More
7,Value,1,Low,1,5.261,21.43728429998737,30,NA,NA,35,105,275,57,29,Less,More,Less
7,Value,2,Medium,3,4.653,68.90348990005441,100,NA,NA,35,105,275,57,99,Less,More,Less
7,Value,3,High,5,7.209,179.6459015000146,270,NA,NA,35,105,275,57,267,Less,More,Less
7,Value,4,Low,1,14.623,19.922034800052643,30,NA,NA,35,105,275,57,46,Less,More,Less
7,Value,5,High,4,5.724,180.63312680006493,270,NA,NA,35,105,275,57,273,Less,More,Less
7,Value,6,Medium,3,1.125,67.02057010005228,100,NA,NA,35,105,275,57,98,Less,More,Less
7,Value,7,High,5,2.777,166.45007510005962,270,NA,NA,35,105,275,57,269,Less,More,Less
7,Value,8,Medium,3,1.338,54.99006810004357,100,NA,NA,35,105,275,57,100,Less,More,Less
7,Value,9,Low,1,1.786,18.869003199972212,30,NA,NA,35,105,275,57,32,Less,More,Less
7,Value,10,Medium,4,1.739,69.25371760001872,100,NA,NA,35,105,275,57,100,Less,More,Less
7,Value,11,Low,1,2.586,17.002558500040323,30,NA,NA,35,105,275,57,34,Less,More,Less
7,Value,12,High,4,2.932,161.37151360011194,270,NA,NA,35,105,275,57,271,Less,More,Less
7,Value,13,Medium,3,3.852,63.63143680000212,100,NA,NA,35,105,275,57,102,Less,More,Less
7,Value,14,High,4,4.025,168.1635647000512,270,NA,NA,35,105,275,57,274,Less,More,Less
7,Value,15,Low,1,3.426,26.1495472000679,30,NA,NA,35,105,275,57,31,Less,More,Less
7,Value,16,High,5,2.555,165.5672770999372,270,NA,NA,35,105,275,57,270,Less,More,Less
7,Value,17,Low,1,2.046,18.06442219996825,30,NA,NA,35,105,275,57,30,Less,More,Less
7,Value,18,Medium,2,2.428,62.52080769999884,100,NA,NA,35,105,275,57,106,Less,More,Less
8,Wanting,1,Low,5,5.512,18.42169530002866,30,Male,22,5,0,125,27,32,Neither,Neither,Neither
8,Wanting,2,Medium,4,4.744,59.13757879997138,100,Male,22,5,0,125,27,101,Neither,Neither,Neither
8,Wanting,3,High,2,6.292,158.2702082999749,270,Male,22,5,0,125,27,271,Neither,Neither,Neither
8,Wanting,4,Low,3,4.373,17.368102099979296,30,Male,22,5,0,125,27,31,Neither,Neither,Neither
8,Wanting,5,High,2,4.515,159.4530876999488,270,Male,22,5,0,125,27,269,Neither,Neither,Neither
8,Wanting,6,Medium,3,3.549,54.194663000060245,100,Male,22,5,0,125,27,116,Neither,Neither,Neither
8,Wanting,7,High,3,2.311,164.66714979999233,270,Male,22,5,0,125,27,269,Neither,Neither,Neither
8,Wanting,8,Medium,2,2.811,58.26913509995211,100,Male,22,5,0,125,27,100,Neither,Neither,Neither
8,Wanting,9,Low,3,3.895,19.585882400046103,30,Male,22,5,0,125,27,31,Neither,Neither,Neither
8,Wanting,10,Medium,2,3.693,56.98847460001707,100,Male,22,5,0,125,27,100,Neither,Neither,Neither
8,Wanting,11,Low,3,2.951,25.54862349992618,30,Male,22,5,0,125,27,31,Neither,Neither,Neither
8,Wanting,12,High,4,4.54,167.69823580002412,270,Male,22,5,0,125,27,271,Neither,Neither,Neither
8,Wanting,13,Medium,3,2.584,65.65545559988823,100,Male,22,5,0,125,27,101,Neither,Neither,Neither
8,Wanting,14,High,2,3.23,162.0016238000244,270,Male,22,5,0,125,27,270,Neither,Neither,Neither
8,Wanting,15,Low,3,3.262,21.18329259997699,30,Male,22,5,0,125,27,31,Neither,Neither,Neither
8,Wanting,16,High,2,5.518,180.64564910007175,270,Male,22,5,0,125,27,270,Neither,Neither,Neither
8,Wanting,17,Low,3,3.882,18.30243049992714,30,Male,22,5,0,125,27,29,Neither,Neither,Neither
8,Wanting,18,Medium,3,7.271,63.98691219999455,100,Male,22,5,0,125,27,103,Neither,Neither,Neither
9,Liking,1,Low,4,3.261,23.899703899980523,30,NA,NA,35,105,300,55.666666666666664,32,More,More,More
9,Liking,2,Medium,5,5.232,65.80335629999172,100,NA,NA,35,105,300,55.666666666666664,102,More,More,More
9,Liking,3,High,5,7.548,194.0175427000504,270,NA,NA,35,105,300,55.666666666666664,272,More,More,More
9,Liking,4,Low,5,4.148,37.00648690003436,30,NA,NA,35,105,300,55.666666666666664,31,More,More,More
9,Liking,5,High,1,7.347,275.77779280010145,270,NA,NA,35,105,300,55.666666666666664,275,More,More,More
9,Liking,6,Medium,2,5.411,86.2396226999117,100,NA,NA,35,105,300,55.666666666666664,103,More,More,More
9,Liking,7,High,5,3.154,192.7580362999579,270,NA,NA,35,105,300,55.666666666666664,272,More,More,More
9,Liking,8,Medium,4,2.402,149.8078572000377,100,NA,NA,35,105,300,55.666666666666664,99,More,More,More
