experiment_name,id,condition,trial,effort_level,effort_time,rating,rt,nasa_tlx
buysell_between14,14,Sell,17,Low,24.828931300000477,0.1,3.773,345
buysell_between14,14,Sell,18,Medium,63.39877669999987,0.25,4.739,345
buysell_between15,15,Sell,1,Low,22.08618209999986,0.25,6.222,345
buysell_between15,15,Sell,2,Medium,84.74052549999942,0.75,6.271,345
buysell_between15,15,Sell,3,High,167.7961464,1,2.408,345
buysell_between15,15,Sell,4,Low,32.19343369999842,0.1,2.371,345
buysell_between15,15,Sell,5,High,193.9196570999993,1,2.234,345
buysell_between15,15,Sell,6,Medium,76.47721450000063,0.45,1.351,345
buysell_between15,15,Sell,7,High,183.9062357999992,0.75,2.672,345
buysell_between15,15,Sell,8,Medium,81.95964979999917,0.75,6.067,345
buysell_between15,15,Sell,9,Low,28.944534199999907,0.1,1.625,345
buysell_between15,15,Sell,10,Medium,87.95600639999975,0.45,2.008,345
buysell_between15,15,Sell,11,Low,28.260745900000984,0.1,2.036,345
buysell_between15,15,Sell,12,High,186.52299129999847,1,1.657,345
buysell_between15,15,Sell,13,Medium,81.60856669999885,0.25,2.305,345
buysell_between15,15,Sell,14,High,218.8279225999995,1,2.824,345
buysell_between15,15,Sell,15,Low,38.54072140000062,0.25,2.124,345
buysell_between15,15,Sell,16,High,211.17931169999792,1,3.487,345
buysell_between15,15,Sell,17,Low,36.42416869999943,0.25,2.925,345
buysell_between15,15,Sell,18,Medium,87.24096999999892,0.45,1.451,345
buysell_between16,16,Buy,1,Low,22.803395399998408,0.45,7.622,265
buysell_between16,16,Buy,2,Medium,63.282578499998635,0.25,5.437,265
buysell_between16,16,Buy,3,High,178.2589384999992,0.1,5.008,265
buysell_between16,16,Buy,4,Low,26.978781800000434,0.75,5.502,265
buysell_between16,16,Buy,5,High,187.42175729999872,0.25,11.521,265
buysell_between16,16,Buy,6,Medium,80.34356300000218,0.1,6.922,265
buysell_between16,16,Buy,7,High,165.5457284999975,0.45,6.502,265
buysell_between16,16,Buy,8,Medium,71.47959189999892,0.75,11.019,265
buysell_between16,16,Buy,9,Low,29.32768170000054,1,4.842,265
buysell_between16,16,Buy,10,Medium,87.05713990000004,0.25,8.103,265
buysell_between16,16,Buy,11,Low,30.226757799999177,0.75,10.12,265
buysell_between16,16,Buy,12,High,181.27286420000019,0.1,6.857,265
buysell_between16,16,Buy,13,Medium,68.79735069999879,0.25,8.531,265
buysell_between16,16,Buy,14,High,172.20953929999814,0.1,5.435,265
buysell_between16,16,Buy,15,Low,25.26173320000089,0.45,4.224,265
buysell_between16,16,Buy,16,High,178.52451680000013,0.1,3.748,265
buysell_between16,16,Buy,17,Low,28.7110612999968,0.75,2.049,265
buysell_between16,16,Buy,18,Medium,63.032032200000685,0.1,4.866,265
buysell_between17,17,Buy,1,Low,24.586548800001765,0.25,2.401,325
buysell_between17,17,Buy,2,Medium,60.84978599999886,0.45,3.94,325
buysell_between17,17,Buy,3,High,133.3739186999992,0.75,13.186,325
buysell_between17,17,Buy,4,Low,25.179107199997816,0.1,3.001,325
buysell_between17,17,Buy,5,High,141.82096079999974,1,2.351,325
buysell_between17,17,Buy,6,Medium,60.616969400001835,0.45,2.99,325
buysell_between17,17,Buy,7,High,140.60554590000174,0.75,3.572,325
buysell_between17,17,Buy,8,Medium,62.182689199999004,0.45,3.437,325
buysell_between17,17,Buy,9,Low,19.41347289999976,0.1,4.44,325
buysell_between17,17,Buy,10,Medium,50.70231369999965,0.25,1.556,325
buysell_between17,17,Buy,11,Low,14.582387500002369,0.1,2.951,325
buysell_between17,17,Buy,12,High,133.7733468999977,1,1.617,325
buysell_between17,17,Buy,13,Medium,53.10186220000105,0.45,0.492,325
buysell_between17,17,Buy,14,High,134.95732049999788,0.75,3.039,325
buysell_between17,17,Buy,15,Low,24.095472699998936,0.1,5.151,325
buysell_between17,17,Buy,16,High,117.71318179999798,0.45,1.223,325
buysell_between17,17,Buy,17,Low,13.849196299997857,0.1,2.154,325
buysell_between17,17,Buy,18,Medium,59.15045070000269,0.45,1.224,325
buysell_between18,18,Buy,1,Low,23.51344050001353,0.25,10.654,325
buysell_between18,18,Buy,2,Medium,51.486028900020756,0.75,4.143,325
buysell_between18,18,Buy,3,High,129.7530539999716,0.25,3.653,325
buysell_between18,18,Buy,4,Low,18.657967500039376,1,1.112,325
buysell_between18,18,Buy,5,High,148.23027280002134,0.45,1.016,325
buysell_between18,18,Buy,6,Medium,50.964011000003666,0.1,1.595,325
buysell_between18,18,Buy,7,High,138.13769790000515,0.75,2.479,325
buysell_between18,18,Buy,8,Medium,48.04824520001421,1,1.155,325
buysell_between18,18,Buy,9,Low,18.407817900006194,0.25,2.404,325
buysell_between18,18,Buy,10,Medium,57.746954099973664,0.1,3.217,325
buysell_between18,18,Buy,11,Low,17.194661500048824,0.75,1.294,325
buysell_between18,18,Buy,12,High,125.73923389997799,1,1.372,325
buysell_between18,18,Buy,13,Medium,52.82934039999964,0.25,3.312,325
buysell_between18,18,Buy,14,High,138.46812450001016,0.75,2.612,325
buysell_between18,18,Buy,15,Low,19.592550999950618,0.45,22.449,325
buysell_between18,18,Buy,16,High,141.01620640000328,0.25,4.423,325
buysell_between18,18,Buy,17,Low,19.4738063000259,1,1.609,325
buysell_between18,18,Buy,18,Medium,56.37945970002329,0.75,4.749,325
buysell_between19,19,Sell,1,Low,18.349442800041288,0.45,7.6,180
buysell_between19,19,Sell,2,Medium,54.4501793999807,0.75,5.579,180
buysell_between19,19,Sell,3,High,150.44417700002668,0.75,5.814,180
buysell_between19,19,Sell,4,Low,17.825098899949808,0.25,10.954,180
buysell_between19,19,Sell,5,High,149.18110909999814,0.75,4.773,180
buysell_between19,19,Sell,6,Medium,62.942184299987275,0.45,4.663,180
buysell_between19,19,Sell,7,High,152.18133940000553,0.75,3.345,180
buysell_between19,19,Sell,8,Medium,62.015471199993044,0.45,4.505,180
buysell_between19,19,Sell,9,Low,19.481140399992,0.25,2.675,180
buysell_between19,19,Sell,10,Medium,57.13201599998865,0.45,5.247,180
buysell_between19,19,Sell,11,Low,19.002533299964853,0.25,1.759,180
buysell_between19,19,Sell,12,High,151.62954230001196,0.75,2.522,180
buysell_between19,19,Sell,13,Medium,57.065165899985004,0.45,5.344,180
buysell_between19,19,Sell,14,High,148.56539399997564,0.75,5.727,180
buysell_between19,19,Sell,15,Low,22.161603900021873,0.25,2.543,180
buysell_between19,19,Sell,16,High,145.403427799989,0.45,4.413,180
buysell_between19,19,Sell,17,Low,17.6950278999866,0.25,6.941,180
buysell_between19,19,Sell,18,Medium,50.715718500025105,0.45,0.626,180
buysell_between1,1,Buy,1,Low,32.655801899999915,1,6.5,335
buysell_between1,1,Buy,2,Medium,97.26088460000005,0.75,2.261,335
buysell_between1,1,Buy,3,High,212.38168559999986,1,7.341,335
buysell_between1,1,Buy,4,Low,32.34181879999983,0.1,4.605,335
buysell_between1,1,Buy,5,High,221.28061950000006,1,2.408,335
buysell_between1,1,Buy,6,Medium,80.00476709999998,1,2.546,335
buysell_between1,1,Buy,7,High,193.21299299999987,0.25,2.96,335
buysell_between1,1,Buy,8,Medium,83.01651960000027,0.45,6.639,335
buysell_between1,1,Buy,9,Low,28.6430991000002,0.25,2.703,335
buysell_between1,1,Buy,10,Medium,79.84679800000004,0.45,4.19,335
buysell_between1,1,Buy,11,Low,27.479677200000424,0.75,8.998,335
buysell_between1,1,Buy,12,High,221.1427991999999,0.25,4.771,335
buysell_between1,1,Buy,13,Medium,85.00145429999975,0.75,2.258,335
buysell_between1,1,Buy,14,High,229.4548537999999,0.25,2.748,335
buysell_between1,1,Buy,15,Low,30.20234470000014,1,1.051,335
buysell_between1,1,Buy,16,High,194.37724670000034,0.25,3.496,335
buysell_between1,1,Buy,17,Low,25.3856624,1,1.893,335
buysell_between1,1,Buy,18,Medium,72.65301290000025,0.75,2.864,335
buysell_between20,20,Buy,1,Low,25.578414299990982,1,12.537,230
buysell_between20,20,Buy,2,Medium,68.93078509997576,1,7.364,230
buysell_between20,20,Buy,3,High,205.0576251000166,1,3.206,230
buysell_between20,20,Buy,4,Low,29.403249500028323,1,3.2,230
buysell_between20,20,Buy,5,High,222.03511399996933,1,3.398,230
buysell_between20,20,Buy,6,Medium,96.28176009998424,1,2.576,230
buysell_between20,20,Buy,7,High,243.48101160000078,1,3.834,230
buysell_between20,20,Buy,8,Medium,94.91564040002413,1,2.245,230
buysell_between20,20,Buy,9,Low,33.603295400040224,1,5.728,230
buysell_between20,20,Buy,10,Medium,80.6550446000183,1,1.944,230
